pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
3990,strafe,1,1,0,1,0,1,0,0,4totes plus can:5 w can,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
8,17,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

007,r,0,0,1,0,0,3,2,03,3990,
018,b,0,0,1,0,0,0,3,03,3990,yellow center: good landfill bot
014,b,0,0,1,0,0,0,4,04,3386,pickone at a timeon landfill
026,b,0,0,1,0,0,0,3,08,3990,great lot
038,r,0,0,1,0,0,0,4,06,3910,best loader
044,b,0,0,1,0,0,4,3,05,3990,
050,b,0,0,1,0,0,4,3,06,3117,can stack : late   clumbsy
