pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
5,15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

020,b,0,0,1,0,0,0,0,0,0,0,0,3,09,4,0020,
024,b,0,0,1,0,0,0,0,1,0,1,0,2,02,2,0000,
043,b,0,0,1,1,1,0,1,1,0,1,0,2,03,2,3951,
038,b,t,1,1,0,0,0,0,0,0,0,0,2,06,2,0000,
055,b,0,1,1,0,0,0,0,0,0,0,0,3,06,2,3951,
