pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
2852,tank,0,1,0,1,0,1,0,0,welded canlifter tall and bulky,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
12,16,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

007,b,0,1,0,1,1,6,5,07,2852,5 tote stacks tank drive
012,b,0,1,0,1,1,5,4,08,2851,
020,b,0,0,0,1,1,5,5,09,2852,
031,r,0,0,0,1,1,6,5,09,2852,
038,r,r,1,0,1,1,6,5,10,2852,
047,r,0,0,0,1,1,6,5,10,2852,
054,b,c,1,0,1,1,5,5,07,2056,long arm good for cans : will probably ally with 2056
