pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
8,13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

001,b,0,1,1,0,0,0,0,0,0,0,0,4,04,4,4093,
016,b,0,0,1,0,0,0,0,2,0,1,0,1,01,1,5349,
030,b,0,0,1,0,0,0,0,1,0,1,0,1,01,0,5349,
035,b,r,1,0,0,0,0,0,0,0,0,0,0,00,0,0000,grabed totes from landfill
039,b,0,0,1,1,0,0,0,0,0,0,0,1,03,3,2265,
054,b,0,0,0,0,0,1,0,0,0,0,0,0,00,0,0000,
046,b,0,0,0,0,0,1,0,1,0,1,0,0,00,0,0000,
