pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
2935,omni,1,1,0,0,0,1,1,0,can push litter 3 wheeled drivebase,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
1,13,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment
,,,,,,,,,,,
8,r,r,1,0,1,1,0,3,2,56,can stack only 3 high
13,b,r,1,1,0,0,0,2,2,5094,totes can fall off
22,b,0,0,1,0,0,0,1,2,3986,only could push
28,r,t,1,0,1,1,1,0,1,4732,tried to stack can whole time
33,r,t,1,1,0,1,0,2,2,5036,
41,b,0,0,1,0,1,0,3,11,2935,
