pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
0746,tank,1,1,1,1,0,0,0,0,same school as 886,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
1,16,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

005,r,r,1,0,1,1,3,0,01,1241,good mover good driver good use of capability mainly can lift but not well better pusher
016,r,r,1,0,1,0,2,2,02,5076,
032,r,t,1,0,1,0,2,2,04,1305,
037,r,r,1,0,1,1,0,1,02,4718,
046,b,r,1,0,0,0,1,0,00,1815,
053,b,0,0,0,0,0,0,0,00,0000,0
