pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

008,b,c,1,1,0,0,0,1,0,0,1,0,0,01,1,0000,sloppy
022,b,0,1,1,1,0,0,0,1,0,1,0,2,03,1,0000,
032,b,c,0,1,1,0,1,0,0,0,1,1,2,02,0,0340,
028,b,r,0,0,0,0,0,0,0,0,0,0,0,00,0,0000,do nothing
034,b,0,1,0,1,0,0,0,5,0,1,1,4,04,1,3044,
053,b,c,1,0,1,0,0,1,0,0,0,0,4,05,1,3015,
