pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
5596,tank,1,1,0,1,0,1,0,0,stack 5 elevator,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
8,14,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

005,b,0,0,0,1,0,0,4,04,5596, good stacking and holding briefly lost control of can
009,r,0,0,0,1,0,3,2,04,5596,hard time catching totes
017,b,0,0,0,1,0,5,2,04,5596,
031,r,0,0,0,1,0,3,2,02,4252,lost can
040,r,0,0,0,1,0,5,1,02,5596,
044,b,0,0,0,1,0,0,4,07,5596,
051,b,0,0,0,0,0,5,0,00,1850,great with can
