pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
8,11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

026,b,0,0,0,1,0,0,0,0,1,1,1,5,05,1,0000,
019,b,t,1,1,0,0,0,0,0,0,0,0,0,00,0,0000,
034,b,0,0,0,1,0,0,0,0,5,1,1,5,08,2,3173,
039,b,0,0,1,0,0,1,0,0,4,1,0,4,02,0,0000,
048,b,t,1,0,1,0,0,0,0,1,1,1,5,06,1,3173,
058,b,c,1,0,1,0,1,0,0,6,1,0,6,06,1,0000,
