pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
5094,tank,1,1,0,0,0,1,1,0,elevator possibly for use in can retrieval,0
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
4,16,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

002,r,0,1,0,1,0,0,1,14,252 ,stacked totes no auto
013,b,r,1,0,1,0,3,1,02,2198,
026,r,t,1,1,0,0,0,0,20,3317,3
037,b,0,1,0,1,0,0,2,01,2056,
045,b,0,0,0,0,0,0,2,01,5094,
055,b,r,1,1,0,0,0,2,01,3530,can oly grab totes from the side: unbalenced
