pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
1,14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

003,b,0,0,0,1,0,0,0,1,0,1,1,1,01,1,0250,
011,b,0,0,0,1,0,0,0,0,1,0,1,3,03,1,0340,
016,b,0,0,0,1,0,0,0,0,0,0,0,3,00,0,0000,
026,b,0,0,0,1,0,0,0,0,3,0,0,3,00,0,0000,
032,b,t,1,0,0,0,0,0,0,0,0,0,1,02,2,0000,not good
040,b,c,1,1,1,0,0,0,1,0,1,1,4,05,2,4505, can stack slow
052,b,c,1,1,0,0,0,0,0,0,1,1,2,02,1,1507,
057,b,c,1,0,0,0,1,0,2,0,2,2,0,00,0,1450,caps
