pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

002,b,c,1,1,0,0,0,0,0,0,0,0,3,03,1,0000,
016,b,r,1,1,0,0,0,0,0,0,0,0,0,00,0,0000,
023,b,0,0,1,0,0,0,0,0,0,0,0,1,01,0,0000,
045,b,0,1,0,0,0,0,0,0,0,0,0,0,00,0,0000,
055,b,r,1,0,0,0,0,0,4,0,1,1,0,00,0,3951,
