pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

013,b,0,1,0,0,0,1,0,0,0,0,0,0,00,0,0000,good co-op
034,b,0,0,1,0,0,1,0,0,0,0,0,1,01,1,0000,coop bot
030,b,r,1,0,0,0,0,1,0,0,0,0,2,02,1,0000,not good
042,b,r,1,1,0,0,0,0,5,0,1,0,0,00,0,0578,hard time stacking
046,b,c,1,0,1,0,0,0,3,0,1,1,3,03,1,0000,slow lifter
