pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
6,11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

004,b,t,1,0,1,0,1,0,0,1,1,1,5,05,1,0000,
020,b,0,1,0,1,0,0,0,5,0,1,0,4,04,1,0020,
029,b,c,1,0,1,0,0,0,1,0,2,0,5,05,1,0000,
035,b,0,1,0,1,0,0,0,2,6,1,1,5,06,2,0000,
038,b,r,1,0,0,1,0,0,1,1,1,1,0,08,1,0020,
051,b,0,1,1,0,0,0,0,0,0,0,0,5,05,1,5254,
