pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

014,b,0,0,0,1,0,0,0,1,1,1,1,0,00,0,0000,
022,b,0,1,0,1,1,0,1,0,4,1,1,4,00,0,0000,
041,b,0,1,0,1,0,0,0,4,0,1,1,3,02,1,0395,
052,b,0,0,0,1,0,0,0,2,2,1,1,2,01,1,1660,
