pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
3117,strafe,1,0,0,1,1,1,0,1,,0
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
9,14,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

003,b,0,0,1,0,0,0,0,00,1325, not good
011,r,r,0,1,1,0,1,3,00,0000,
017,r,c,1,0,1,0,0,0,00,0000,tall get can from step : trouble with human player station
030,r,0,1,1,1,0,0,0,00,3117,
036,r,0,0,1,0,0,0,5,05,3117,
045,b,r,1,0,0,0,0,0,01,4248,
050,b,0,0,0,1,0,0,6,06,3117,
