1111,1,19,0,0,11
2222,1,17,1,0,0
3333,1,13,0,0,3
4444,2,7,1,1,10
5555,2,4,1,0,0
6666,2,4,1,0,16
7777,3,10,0,0,12
8888,3,1,1,0,0
9999,3,4,0,0,0
1001,4,1,1,0,11
2002,4,3,1,0,12
3003,4,14,0,1,3
1111,5,9,1,1,3
2222,5,11,1,0,8
3333,5,14,0,0,14
4444,6,5,0,1,0
5555,6,17,0,0,5
6666,6,1,0,0,1
7777,7,10,0,1,10
8888,7,18,1,0,18
9999,7,2,0,1,5
1001,8,5,0,1,0
2002,8,8,1,1,11
3003,8,19,0,0,5
1111,9,14,1,0,7
2222,9,16,0,1,8
3333,9,15,0,1,15
4444,10,0,0,0,1
5555,10,18,1,1,12
6666,10,19,1,0,17
7777,11,7,1,1,14
8888,11,9,0,1,4
9999,11,3,0,1,18
1001,12,17,1,0,9
2002,12,10,1,1,0
3003,12,6,0,1,8
1111,13,10,1,1,8
2222,13,17,0,0,12
3333,13,11,1,0,0
4444,14,15,1,1,16
5555,14,18,0,1,5
6666,14,8,0,1,4
7777,15,8,0,0,16
8888,15,13,0,1,19
9999,15,6,1,1,13
1001,16,5,1,0,7
2002,16,0,1,1,15
3003,16,10,1,1,15
1111,17,17,0,0,6
2222,17,8,0,0,17
3333,17,4,0,1,12
4444,18,5,0,0,4
5555,18,17,1,0,5
6666,18,15,0,0,2
7777,19,1,1,1,3
8888,19,8,1,0,8
9999,19,16,1,0,7
1001,20,0,0,1,5
2002,20,16,0,0,9
3003,20,11,1,0,6
