pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
5036,strafe,1,1,0,1,0,1,0,1,6tote stack: carry 3,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
6,18,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

001,r,0,0,1,0,0,0,2,04,5652, 2 totes at once 4 d movement couldnt grab sideways totes
018,b,0,0,1,0,0,0,2,05,3990,
025,b,0,0,0,1,0,0,1,01,2056,has ramp:froze
042,b,0,0,1,1,0,0,0,03,5036,
048,r,r,1,1,0,0,0,1,04,5036,double grabber
