pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
4476,tank,1,1,0,1,1,1,0,0,external elevator,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
4,14,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

001,r,0,0,0,1,0,0,3,00,5652,canstack no score
009,b,0,0,0,1,0,2,1,01,4476,
024,r,0,0,1,0,0,0,2,03,5428,tried coop:knocked into boxes
021,r,0,0,1,0,0,1,4,04,0000,stack of two yellow
038,b,t,0,1,0,0,0,1,03,4476,
041,b,0,0,1,0,0,0,2,02,5719,
049,b,0,1,0,0,0,0,0,00,3386,foules
