pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
1815,tank,1,1,0,1,1,1,0,0,wooden collector,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
7,14,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

007,r,0,0,0,0,1,1,1,00,3990,started breaking droped crate foul for proping open door
023,r,c,1,0,1,0,3,2,04,1815,ramp at playerstation
027,b,t,1,0,1,1,3,3,05,1815,
033,b,c,1,0,1,1,0,1,04,3386,
046,r,0,1,0,1,1,4,3,03,1815,slow
051,b,c,1,0,1,1,0,2,02,0578,
