pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
5719,tank,1,0,0,0,0,1,0,0,external elevator stacker,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
4,16,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

002,b,t,1,1,1,0,0,2,05,3550,rather average very short
009,r,0,1,1,0,0,0,3,03,5596, was ok
035,r,t,1,1,0,0,0,4,04,5719,4stack
041,b,0,0,1,0,0,0,3,05,5714,
