pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
3386,omni,1,0,0,1,1,1,0,0,pneumatic elevator lifter,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
11,13,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

006,b,0,0,0,0,0,0,0,03,378D,ID NOTHING
014,b,0,0,0,1,0,6,5,05,3386,can stack can do tipped can: slow
029,r,0,0,0,1,1,5,4,04,3386,good all rounder: slow
034,b,0,0,0,1,1,1,5,06,3386,very good at stacking
049,b,0,0,0,1,1,4,3,06,3386,
