pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
5051,tank,1,0,1,1,0,0,0,0,5 can,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
4,10,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

001,b,t,1,1,0,0,0,3,03,5051,
011,b,r,1,1,0,0,0,1,12,228,
017,r,0,0,1,0,0,0,1,01,5396,
026,r,0,0,1,0,0,0,1,01,3173,bad lifter
034,r,0,0,1,0,0,0,0,04,1241,
047,b,r,0,1,1,0,3,2,02,5051,
052,b,r,1,1,0,0,0,3,03,0350,knck over cans
