pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
4248,tank,1,1,0,1,1,1,0,0,sideways external elavator,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
2,17,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

005,b,r,1,1,0,0,1,1,15,596 ,bashes totes
009,b,r,1,1,0,0,0,1,14,476t,rouble grabbing totes
020,b,0,1,1,0,0,0,1,01,2852,cant pick up only push: foul on coach
028,r,0,0,1,0,0,0,4,01,4732,
035,r,r,1,0,0,0,0,0,00,5719,
045,b,r,1,1,0,0,0,1,02,5094,
050,b,0,1,1,0,0,0,2,02,0378,bad grabber
