pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
1305,tank,1,1,0,1,0,1,0,0,ffront totes and can: back can claw,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
8,16,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

008,r,r,1,0,0,0,0,0,00,2056,dead battery
017,b,0,1,1,0,0,2,2,04,1305,
014,r,0,0,1,0,0,3,2,03,1325,droped can
029,b,0,0,1,0,0,0,5,05,1305,can lift can up high: knocked over tower
032,r,t,1,1,0,0,5,3,03,1305,
046,b,0,0,1,0,0,0,2,00,4732,
051,b,0,1,0,0,0,0,0,01,0578,fell over
