pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

001,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,0000,did not move
015,b,r,1,1,0,0,0,0,0,0,0,0,3,04,2,0000,0poor lifter
022,b,0,1,1,0,0,0,0,0,0,0,0,3,04,2,0000,
026,b,0,0,1,0,0,0,0,0,0,0,0,2,03,2,3173,
033,b,0,0,1,0,0,1,0,0,0,0,0,0,00,0,0000,
043,b,0,0,1,0,0,0,0,0,0,0,0,3,04,2,0000,clumsy
049,b,r,1,1,0,0,0,0,0,0,0,0,2,03,2,1155,
