pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
5076,tank,1,1,0,1,0,1,1,0,dual tote/can elavator,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
4,16,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

006,b,0,0,1,0,0,0,1,23,386,
011,r,0,0,1,0,0,0,2,03,3117, grabber can expand 2 high grabber
016,r,r,1,1,0,0,0,1,02,5076,justed pushed stuff
027,b,r,1,1,1,0,0,1,04,1815,
042,r,0,1,1,1,0,0,2,01,5076,
039,b,0,0,0,0,0,0,0,00,5652,not on floor
054,b,0,0,0,1,0,0,2,04,1241,
