pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

006,b,r,1,1,0,0,0,0,0,0,0,0,2,05,3,3951,
013,b,t,1,1,0,0,1,0,0,0,0,0,2,04,2,1126,
017,b,r,1,1,0,0,0,0,0,0,0,0,2,02,1,5254,poor stacker
024,b,r,1,1,0,0,0,0,0,0,0,0,2,02,1,0000,got totes form the middle: badly
052,b,t,1,1,0,1,0,0,0,0,0,0,2,01,1,1660,
056,b,r,1,1,0,0,0,0,0,0,0,0,2,02,1,1406,
