pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
2013,tank,1,1,1,1,1,1,0,1,orange: 2 tote max:fb,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
7,17,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

004,b,0,0,0,0,1,1,0,02,5031,can pick up totes and cans simultaneously didnt do much
016,b,0,0,0,0,1,2,0,00,2013,cans: mess knocks over: cans only   poorly
022,r,0,0,0,0,1,3,0,00,3173,can pick up totes in any position : only picks up cans
030,r,0,0,0,0,0,0,0,00,0000,dead battery
038,b,0,0,0,0,1,3,0,00,4476,50%success rate with stacks
044,b,0,0,0,0,1,0,0,00,2013,
055,b,0,0,1,0,1,1,1,01,2013,
