pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
4015,omni,1,0,0,0,1,1,0,0,unfinished,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
,16,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

007,b,0,0,0,0,0,0,0,00,2852, no points
010,r,0,0,1,1,0,0,2,02,3173,got stuck on bump
017,b,0,0,0,1,0,0,0,01,2013,it can spin! : died/not functional
031,b,t,1,0,1,0,0,1,01,5031,
035,b,t,1,0,1,0,0,0,01,3173,
046,r,0,1,0,1,0,0,1,03,1815,
052,b,0,0,0,1,0,0,1,01,3986,not good at recieving totes from playsta
