pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
4627,tank,1,0,0,1,1,1,0,0,,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
2,15,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

004,r,t,1,1,0,0,0,1,03,3173,dropped a tote was close
012,b,0,0,1,1,0,0,2,02,2852,some stacking not much
023,b,r,1,0,0,0,0,0,00,0378,all the cons all of them
031,b,0,0,1,0,0,0,2,00,5031,good at grabbing can only hold 2 totes
039,b,0,0,1,0,0,2,0,02,4627,
048,r,0,1,1,0,0,0,1,03,5036,
045,r,0,0,0,1,0,0,1,01,3986,
