pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
5,13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

007,b,c,1,1,0,0,1,0,0,0,0,0,4,02,1,0000,
015,b,0,0,1,0,0,1,0,0,0,0,0,1,02,2,1660,
019,b,r,1,1,1,0,0,0,0,0,0,0,4,07,3,1559,
027,b,0,0,0,1,0,1,0,0,0,0,0,1,01,0,0000,
035,b,r,1,0,1,0,1,0,0,0,1,0,3,03,1,3003,coop:can
045,b,t,1,0,1,0,1,0,2,6,1,1,5,05,1,1559,
048,b,t,1,0,1,1,0,0,0,0,0,0,1,01,1,3173,
056,b,t,1,0,1,0,0,0,2,4,1,1,3,03,1,1559,lights!!!
