pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
10,12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

005,b,0,0,0,1,0,0,0,1,3,1,1,6,09,2,4039,
011,b,t,1,0,1,0,1,0,6,6,1,1,6,06,1,4039,
022,b,0,0,0,1,0,0,0,4,1,1,1,6,12,3,4039,
029,b,0,0,0,1,0,0,0,0,1,1,1,6,13,3,4039,
036,b,0,0,0,0,0,1,0,0,0,0,0,0,00,0,1507,
044,b,0,0,0,0,0,1,0,6,0,1,1,4,07,2,4039,help stack other cans
048,b,0,0,0,1,0,0,0,0,6,2,2,6,12,3,4039,
053,b,0,0,0,1,0,0,0,0,6,2,2,6,15,3,4039,
