pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
3387,tank,1,1,1,0,1,1,0,0,wire cable lifter 6,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
8,19,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

006,r,0,0,1,0,1,2,1,01,3387,good bot poor driver and strategy
015,r,0,0,1,0,1,2,2,02,0378,
022,r,0,0,1,0,0,0,2,02,5173,poor lifter
030,b,0,0,1,0,0,0,2,02,0000,fast: bad at stacking
033,r,0,0,1,1,0,0,2,02,5036,
047,b,0,0,1,0,0,4,3,03,3387,
053,b,0,0,1,0,1,3,2,02,3387,slow lifter
056,b,0,0,1,0,0,4,3,03,3387,slow lifter
056,b,0,0,1,0,1,4,3,03,3387,
