pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
,,,,,,,,,,,
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
8,14,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

001,b,c,1,1,0,0,0,1,05,5051,can score 2 real good on stacks for 2 points
008,b,t,1,1,0,1,4,3,35,78ho,ld multiple totes at once
027,r,r,0,1,0,0,0,5,05,3486,can stack 5high: poor lifter
032,r,t,1,1,0,1,0,4,05,3986,
045,r,t,1,1,0,1,0,0,00,3385,
052,b,t,0,1,0,0,0,2,04,5719,
