pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
8,15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

006,b,0,0,0,1,0,0,0,5,5,1,0,5,05,1,4505,
023,b,0,0,0,1,0,0,0,2,4,1,0,3,03,1,1660,
028,b,0,0,0,1,0,0,0,0,5,1,0,5,09,2,1660,
033,b,r,1,0,0,0,0,0,0,1,0,4,0,01,0,0000,ehn
044,b,0,0,1,0,0,0,0,0,0,1,1,3,03,1,2228,
052,b,0,0,0,1,1,0,0,0,0,1,0,4,05,1,1660,
058,b,0,0,1,1,0,0,0,0,1,2,2,2,04,1,5030,
