pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

015,b,0,0,1,0,0,1,0,0,0,0,0,3,01,1,0000,good co-op
022,b,0,0,1,0,0,0,0,0,0,0,0,1,01,1,4039,
025,b,0,0,0,0,0,1,0,0,0,0,0,2,02,1,0000,weak lifter
031,b,0,0,1,0,0,0,0,0,0,0,0,0,00,0,4511,
034,b,0,0,1,0,0,1,0,0,0,0,0,2,02,1,0000,foul
059,b,0,0,1,0,0,1,0,2,0,1,0,0,00,0,0000,
