pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
5031,tank,1,1,0,1,0,1,0,0,elevator external,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
10,14,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

004,b,0,0,0,1,0,0,4,06,5031,very capable and efficient fast stack no can
013,r,0,0,0,1,0,0,5,11,5031,comminication
019,r,0,0,0,1,0,2,3,05,5031,
031,b,0,0,0,1,0,0,5,05,5031,
051,b,0,0,0,1,0,0,4,06,5031,
