pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
2228,omni,1,1,1,1,1,1,1,1,this is the best robot:so kawaii,1,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
10,18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

008,b,c,0,0,1,0,0,0,4,0,2,2,4,08,3,2228,
015,b,0,1,0,1,0,0,0,0,0,0,0,5,05,1,5030,
018,b,0,0,0,1,0,0,0,1,0,1,1,4,12,3,2228,
024,b,c,1,0,1,0,0,0,0,1,2,1,4,04,7,0000,
032,b,0,0,0,0,0,0,0,0,0,0,1,6,06,1,5254,6stack but dropped can
044,b,0,1,0,1,0,1,0,0,1,1,1,4,07,2,1126,
054,b,0,1,0,1,0,0,0,5,0,2,4,1,03,3,2228,best team ever couldnt do wrong: kawaii
050,b,c,1,0,1,0,0,0,4,1,2,2,4,10,2,2228,
