pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
2056,tank,1,1,0,1,1,1,1,1,wheel tote grabber,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
14,14,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment
,,,,,,,,,,,
8,r,r,1,1,0,1,7,6,12,2056,amazing
15,b,r,1,1,0,1,6,6,9,2056,really good: stability
14,b,c,1,1,0,1,6,6,12,2056,tote plus can auto
25,b,c,1,1,1,1,6,6,12,2056,what did you expect
37,b,r,1,1,1,1,7,6,14,2056,gud

054,b,c,1,1,0,1,7,6,12,2056,fast
