pit scouting,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,
,,,,,,,,,,,,
,,,,,,,,,,,,
vote record,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
match scouting,,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,number of cans,max tote height,number of totes,vote,comment

,b,0,0,1,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,1,0,0,0,0,00,,
,b,0,0,1,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,00,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,,
