pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
3550,strafe,1,0,0,1,0,1,0,0,grab elevator,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
7,12,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

002,b,0,0,0,1,0,2,2,02,3550, slow
012,r,r,0,1,1,0,1,2,00,0000,
024,b,0,0,0,1,0,4,3,02,0000,tried coop
019,r,0,0,0,1,0,0,2,02,0000,got stuck on noodle
033,b,t,1,0,1,0,3,2,02,3386,
044,r,0,0,0,1,0,0,2,02,4625,player station
052,b,0,0,0,1,0,0,1,03,3986,lift push only
052,b,0,0,0,1,0,3,3,03,3387,couldnt hold totes well
