pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
1591,omni,1,0,0,0,0,0,0,1,stack 6:coop: loosens landfill totes,0
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

008,b,0,1,1,0,0,0,0,0,0,2,0,2,02,1,2228,auto-
