1,5590,340,4093,5349,191,1155
2,1585,3003,2340,5030,1765,1551
3,250,1518,1405,1511,578,3044
4,3157,73,20,1507,174,395
5,378,5433,3181,4039,3799,1126
6,3951,743,1450,1660,3173,4505
7,2265,5254,2809,1559,3015,3838
8,2228,5590,3044,2791,1591,1507
9,3003,378,3157,4505,20,2340
10,1405,191,1551,3181,3173,5254
11,340,1765,73,4039,1518,3951
12,5349,250,1591,1585,2809,174
13,1511,2791,3838,578,743,1126
14,3799,1155,3015,1450,395,5433
15,1660,1559,4093,2265,5030,2228
16,1518,5349,2340,1585,73,578
17,743,1551,5254,5590,5433,3157
18,1591,191,1450,3003,174,2228
19,1511,1155,1559,1507,3173,1765
20,250,20,3951,3015,1126,5030
21,4505,340,378,1405,3181,3838
22,395,4039,2265,3044,4093,2791
23,2809,1660,1591,3799,2340,191
24,1155,174,5590,2228,3951,1405
25,378,578,1450,1551,2791,2265
26,1518,4093,3173,3015,2809,3003
27,1511,395,5030,5433,1559,5254
28,1660,1585,3044,1126,3181,73
29,3157,4505,743,4039,20,340
30,5349,1765,3838,3799,250,1507
31,1511,2265,3015,174,73,191
32,3044,340,1518,2228,5254,2340
33,1450,3157,1660,5433,4093,250
34,3173,5590,395,1591,3838,378
35,1585,20,5349,1559,2791,3003
36,1507,4039,743,5030,1405,3799
37,1126,4505,1551,1155,1765,2809
38,3951,3181,191,578,20,3003
39,3173,3044,250,743,5349,2265
40,5030,2791,5254,4505,1591,1518
41,1585,395,3799,340,1551,1511
42,1765,5433,3015,3838,1507,578
43,1405,378,174,3157,3951,4093
44,1660,1126,2228,4039,5590,2809
45,2340,1559,3181,1450,73,1155
46,191,5030,3838,3157,2791,5349
47,5433,1591,1126,3015,1405,340
48,4039,3044,3181,3951,3173,1559
49,578,2265,2340,1155,4505,4093
50,2228,2809,73,378,1511,1765
51,3799,5254,20,1450,250,5590
52,1518,1507,3003,395,1660,743
53,1551,1585,4039,174,3044,3015
54,4505,2228,2791,5349,3799,5433
55,1155,2340,3951,5254,250,1511
56,395,1559,2809,743,1405,5590
57,191,1507,378,1518,1585,1450
58,3173,174,578,5030,1660,340
59,1126,1765,3003,3157,3181,2265
60,3838,73,4093,1591,1551,20
61,3015,5590,2791,1660,174,2340
62,1507,1126,5349,5254,1518,395
63,3838,3951,2265,2228,1585,5433
64,191,340,578,250,4505,1559
65,5030,3003,1155,73,3044,378
66,1405,4039,1591,1450,20,1765
67,743,1511,2809,3181,4093,1551
68,3799,3173,73,3157,5254,578
69,5349,2228,1559,378,1660,3015
70,5433,340,174,2809,20,3044
71,1585,250,2791,1405,4093,3003
72,3157,4039,3838,3181,1518,1155
73,4505,5030,1450,1511,1126,5590
74,1765,2340,395,743,191,3173
75,1551,3951,1507,1591,3799,2265
76,3157,3044,5030,1450,3838,2809
77,1155,5254,340,1765,2791,1660
78,73,5433,743,191,5590,1585
79,3799,1551,174,1518,1559,1126
80,4093,1507,3015,3003,3951,4505
81,578,250,3181,395,2228,1591
82,1405,2340,1511,4039,5349,378
83,20,1518,5590,3173,2265,1585
