pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
0781,strafe,1,1,0,1,0,1,0,0,h-drive,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
3,15,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

009,b,0,0,1,0,0,0,0,00,2447,6 offline
018,r,c,0,1,0,0,0,3,05,0000,foul
032,b,r,1,1,1,0,0,2,03,3988,
038,r,r,1,1,0,0,0,5,05,2852,5totes inside bot
042,b,t,1,0,1,1,6,5,05,0781,
054,b,0,0,1,0,0,0,4,04,1241,
