pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

002,b,0,0,1,0,1,0,0,0,0,0,0,2,02,1,5030,
012,b,0,1,1,0,1,0,0,0,0,0,0,1,03,3,0000,
016,b,0,0,0,0,0,1,0,0,0,0,0,0,00,0,0000,
028,b,0,1,1,0,0,0,0,0,0,0,0,0,00,0,1560,dropped
035,b,0,1,1,0,0,0,0,0,0,0,0,2,04,2,5349,
041,b,t,1,0,0,0,0,0,0,0,0,0,1,01,1,0000,
053,b,0,0,1,0,0,0,0,0,0,0,0,3,05,2,4039,
