pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
4825,tank,1,0,0,0,1,1,0,0,internal elevator,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
5,15,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

008,b,0,1,1,0,0,0,0,02,2852,
016,b,r,1,1,0,0,1,2,03,5076,fast : oly grabs 1 tote at a time
021,r,c,1,0,0,0,0,0,00,0886,did nothing
026,b,c,1,0,0,0,0,2,02,3990,nearly fell
036,b,t,1,1,0,0,0,2,04,3173,fast at stacking didnt carry many
044,r,r,1,1,0,0,0,2,03,4825,
048,b,r,1,1,0,0,0,2,02,4825,
056,b,c,1,1,0,0,0,2,02,2185,one at a time lsot most
