pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
3988,strafe,1,1,0,1,0,1,1,0,collects totes from player station,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
4,20,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

004,b,0,1,1,0,0,0,1,15,031,
011,r,0,0,1,1,0,0,1,04,3117,drops every tote
032,b,r,1,1,1,0,0,4,04,3988,
041,r,r,1,0,1,0,0,2,00,2056,
048,r,r,1,0,1,0,0,1,02,5036,
056,b,0,1,1,0,0,0,3,03,3988,
