pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
4252,tank,1,0,0,0,0,1,0,0,belt operated elevator,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
1,12,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

002,r,t,1,1,1,0,0,0,11,325c,an pickup no do anything
015,b,r,1,1,1,0,0,1,02,0378,couldnt grab totes
024,b,r,1,1,0,0,0,0,05,0578,
031,r,r,1,1,0,0,0,2,02,2052,poorlifter
042,r,t,1,1,0,0,0,2,01,1246,
055,b,t,1,1,0,0,0,2,00,2013,no lift
