pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

005,b,0,1,0,0,0,0,0,0,0,0,0,0,00,0,0378,4d drive
017,b,0,0,1,0,0,0,0,0,0,0,0,1,02,2,5452,
027,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,5254,did not move
033,b,0,0,0,0,0,1,0,0,0,1,1,0,00,0,4093,didnt do much also kn oked over its can
042,b,0,0,0,0,0,0,0,0,0,0,0,0,00,0,3015,didnt move
054,b,0,0,0,1,0,0,0,0,0,0,0,1,01,1,3799,
047,b,0,0,1,0,0,0,0,0,0,0,0,1,01,0,1126,
