pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
3710,strafe,1,1,0,1,1,1,0,0,wheel fed elevator,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
2,15,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

006,r,0,1,0,0,0,0,0,03,530 ,turned off
010,b,r,1,0,1,0,0,4,04,3710,
019,r,0,0,0,0,0,3,0,00,0000,
029,r,0,0,0,0,1,0,0,00,3386,lost an arm: foul
038,b,0,0,0,1,0,3,2,03,3710,
043,r,0,1,0,1,1,4,3,03,2228,
048,b,0,0,0,1,0,0,1,04,4825,
