pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
8,15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

011,b,0,0,0,1,0,0,0,4,5,0,0,1,01,0,1591,bad
021,b,0,0,0,1,0,0,0,4,0,1,0,5,05,1,0340,
024,b,c,1,0,1,0,0,1,3,0,5,4,0,00,0,0340,strong can lifter:not a stacker
032,b,0,1,0,1,0,0,1,6,0,2,2,5,07,2,0340,
041,b,r,1,0,1,1,0,1,0,6,3,1,5,11,2,0340,
047,b,0,1,0,0,0,0,1,0,0,0,0,0,00,0,1405,fell over
058,b,0,1,0,1,0,0,1,3,0,1,0,3,03,1,5030,one tote at a time
