pit scouting,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform
0886,tank,1,1,1,1,0,0,0,0,same school as 746,1
,,,,,,,,,,,
vote record,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,
1,13,,,,,,,,,,
,,,,,,,,,,,
match scouting,,,,,,,,,,,
match,alliance,push/move into auto zone,has autonomous,landfill,Player station,litter in can,max can height,max tote height,number of totes,vote,comment

003,r,t,1,1,1,0,0,0,11,325c,an pick up no do well in match
015,b,0,0,0,1,0,3,0,04,2056,good at fliping totes rightside up
027,r,c,1,0,1,0,0,1,04,3486,
035,b,t,1,0,1,0,2,1,06,1246,
040,r,r,1,0,0,0,0,0,00,5596,
