pit scouting,,,,,,,,,,,,,,,,,
team number,drivebase,tote mechanism,can mechanism,litter in can,pneumatics,camera,encoders,range,gyro,comment,can drive over platform,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
vote record,,,,,,,,,,,,,,,,,
total votes,possible votes,,,,,,,,,,,,,,,,
2,12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
match scouting,,,,,,,,,,,,,,,,,
match,alliance,push/move into auto zone,moves in auto,landfill,Player station,ruins a stack,coop points,Gets a step can,max can height top,max can height raised,number of cans,litter in can,max tote height,number of totes,number of stacks,vote,comment

014,b,0,0,1,0,0,0,0,0,0,0,0,2,03,2,1660,
023,b,0,0,0,1,0,1,0,1,1,1,1,5,05,1,0000,
036,b,c,1,1,0,0,0,0,0,0,3,0,3,03,1,1405,landfill: nonfunctional slow
030,b,c,1,1,0,0,0,0,0,0,0,0,1,03,3,1507,
041,b,r,1,0,1,0,0,0,0,0,0,0,0,00,0,0000,spent whole time trying to coop
051,b,0,0,1,0,0,0,0,0,0,0,0,2,02,1,5254,
054,b,0,0,1,0,0,0,0,0,0,1,0,1,01,1,3799,
